Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;Distance;Distance Unit;Seconds;Notes;Workout Notes
2018-10-12 16:12:31;"A";"Bent Over Row (Dumbbell)";3;35;lbs;5;;;0;;
2018-10-12 16:12:31;"A";"Bent Over Row (Dumbbell)";4;40;lbs;5;;;0;;
2018-10-12 16:12:31;"A";"Bent Over Row (Dumbbell)";5;45;lbs;8;;;0;;
2018-10-12 16:12:31;"A";"Overhead Press (Dumbbell)";1;20;lbs;5;;;0;"";
2018-10-12 16:12:31;"A";"Overhead Press (Dumbbell)";2;22.5;lbs;5;;;0;;
2018-10-12 16:12:31;"A";"Overhead Press (Dumbbell)";3;25;lbs;5;;;0;;
2018-10-12 16:12:31;"A";"Overhead Press (Dumbbell)";4;27.5;lbs;5;;;0;;
2018-10-12 16:12:31;"A";"Overhead Press (Dumbbell)";5;30;lbs;8;;;0;;
2018-10-10 19:59:20;"B";"Squat (Barbell)";1;22.5;lbs;5;;;0;"";""
2018-10-10 19:59:20;"B";"Squat (Barbell)";2;25;lbs;5;;;0;;
2018-10-10 19:59:20;"B";"Squat (Barbell)";3;27.5;lbs;5;;;0;;
2018-10-10 19:59:20;"B";"Squat (Barbell)";4;30;lbs;5;;;0;;
2018-10-10 19:59:20;"B";"Squat (Barbell)";5;32.5;lbs;8;;;0;;
2018-10-10 19:59:20;"B";"Bench Press (Dumbbell)";1;27.5;lbs;5;;;0;"";
2018-10-10 19:59:20;"B";"Bench Press (Dumbbell)";2;30;lbs;5;;;0;;
2018-10-10 19:59:20;"B";"Bench Press (Dumbbell)";3;35;lbs;5;;;0;;
2018-10-10 19:59:20;"B";"Bench Press (Dumbbell)";4;40;lbs;5;;;0;;
2018-10-10 19:59:20;"B";"Bench Press (Dumbbell)";5;45;lbs;6;;;0;;
2018-10-10 19:59:20;"B";"Pull Up";1;0;lbs;12;;;0;"";
2018-10-10 19:59:20;"B";"Pull Up";2;0;lbs;6;;;0;;
2018-10-08 17:11:11;"A";"Deadlift (Barbell)";1;65;lbs;5;;;0;"CHANGE: corrected form";""
2018-10-08 17:11:11;"A";"Deadlift (Barbell)";2;75;lbs;5;;;0;;
2018-10-08 17:11:11;"A";"Deadlift (Barbell)";3;85;lbs;5;;;0;;
2018-10-08 17:11:11;"A";"Deadlift (Barbell)";4;95;lbs;5;;;0;;
2018-10-08 17:11:11;"A";"Deadlift (Barbell)";5;105;lbs;11;;;0;;
2018-10-08 17:11:11;"A";"Bent Over Row (Dumbbell)";1;27.5;lbs;5;;;0;"";
2018-10-08 17:11:11;"A";"Bent Over Row (Dumbbell)";2;30;lbs;5;;;0;;
2018-10-08 17:11:11;"A";"Bent Over Row (Dumbbell)";3;35;lbs;5;;;0;;
2018-10-08 17:11:11;"A";"Bent Over Row (Dumbbell)";4;40;lbs;5;;;0;;
2018-10-08 17:11:11;"A";"Bent Over Row (Dumbbell)";5;45;lbs;7;;;0;;
2018-10-08 17:11:11;"A";"Overhead Press (Dumbbell)";1;20;lbs;5;;;0;"";
2018-10-08 17:11:11;"A";"Overhead Press (Dumbbell)";2;22.5;lbs;5;;;0;;
2018-10-08 17:11:11;"A";"Overhead Press (Dumbbell)";3;25;lbs;5;;;0;;
2018-10-08 17:11:11;"A";"Overhead Press (Dumbbell)";4;27.5;lbs;5;;;0;;
2018-10-08 17:11:11;"A";"Overhead Press (Dumbbell)";5;30;lbs;8;;;0;;
2018-10-03 16:00:08;"B";"Squat (Barbell)";1;22.5;lbs;5;;;0;"";""
2018-10-03 16:00:08;"B";"Squat (Barbell)";2;25;lbs;5;;;0;;
2018-10-03 16:00:08;"B";"Squat (Barbell)";3;27.5;lbs;5;;;0;;
2018-10-03 16:00:08;"B";"Squat (Barbell)";4;30;lbs;5;;;0;;
2018-10-03 16:00:08;"B";"Squat (Barbell)";5;32.5;lbs;8;;;0;;
